date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:44	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2027%20Dec%202017%2012:48:42%20GMT	http://lerative.com/robots.txt		(from )
14:48:45	267708/267708	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:48:43%20GMT	http://covetedapp.com/	/home/tits/websites/f6s%20mobile/covetedapp.com/index.html	(from )
14:48:46	30999/30999	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:48:43%20GMT	http://lerative.com/	/home/tits/websites/f6s%20mobile/lerative.com/index.html	(from )
14:48:46	378/378	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2027%20Dec%202017%2012:48:46%20UTC	https://totalfootballinc.com/	/home/tits/websites/f6s%20mobile/totalfootballinc.com/index.html	(from )
14:48:47	25559/25559	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:48:44%20GMT	https://www.jukemotion.com/	/home/tits/websites/f6s%20mobile/www.jukemotion.com/index.html	(from )
14:48:47	92602/92602	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:48:47%20GMT	http://www.granittech.com/	/home/tits/websites/f6s%20mobile/www.granittech.com/index.html	(from )
14:48:47	5842/5842	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:48:46%20GMT	http://gmpg.org/xfn/11	/home/tits/websites/f6s%20mobile/gmpg.org/xfn/11.html	(from http://lerative.com/)
14:48:47	38108/38108	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:48:46%20GMT	https://influencer.gaia-nutrition.de/	/home/tits/websites/f6s%20mobile/influencer.gaia-nutrition.de/index.html	(from )
14:48:48	5955/5955	---M--	200	added ('OK')	text/html	etag:%221743-5610231823900%22	http://top-app.site/	/home/tits/websites/f6s%20mobile/top-app.site/index.html	(from )
14:48:48	36165/36165	---M--	200	added ('OK')	text/html	date:Mon,%2018%20Dec%202017%2016:11:54%20GMT	http://www.meleti.org/	/home/tits/websites/f6s%20mobile/www.meleti.org/index.html	(from )
